title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq3332;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	1
Uniq3408;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	0	1
Uniq3413;size=1;	Uniq0024;size=34;	NOISY VARIANT	0	0	0
Uniq3609;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	2	0
Uniq3656;size=1;	Uniq0024;size=34;	NOISY VARIANT	0	0	0
Uniq3660;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq3678;size=1;	Uniq0024;size=34;	NOISY VARIANT	4	0	0
Uniq3829;size=1;	Uniq0024;size=34;	NOISY VARIANT	4	0	0
Uniq3833;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq3937;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq4025;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq4064;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	4	0
Uniq4230;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq4320;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	2	0
Uniq4473;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	2	0
Uniq4494;size=1;	Uniq0024;size=34;	NOISY VARIANT	4	4	0
Uniq4597;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq4640;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
