title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq5279;size=1;	Uniq0296;size=8;	NOISY VARIANT	4	0	0
Uniq5592;size=1;	Uniq0296;size=8;	NOISY VARIANT	4	0	0
Uniq0296;size=8;	*	VARIANT	*	*	*
Uniq0353;size=7;	*	VARIANT	*	*	*
Uniq1508;size=1;	Uniq0362;size=7;	NOISY VARIANT	4	0	0
Uniq1692;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	4	0
Uniq1723;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	2	1
Uniq2039;size=1;	Uniq0362;size=7;	NOISY VARIANT	3	3	0
Uniq2662;size=1;	Uniq0362;size=7;	NOISY VARIANT	3	3	0
Uniq2833;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	2	1
Uniq3148;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	2	0
Uniq3221;size=1;	Uniq0362;size=7;	NOISY VARIANT	4	0	0
Uniq3966;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	2	1
Uniq4196;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	0	1
Uniq4835;size=1;	Uniq0362;size=7;	NOISY VARIANT	3	3	0
Uniq5284;size=1;	Uniq0362;size=7;	NOISY VARIANT	1	3	0
Uniq5367;size=1;	Uniq0362;size=7;	NOISY VARIANT	2	4	0
Uniq5570;size=1;	Uniq0362;size=7;	NOISY VARIANT	4	4	1
Uniq5586;size=1;	Uniq0362;size=7;	NOISY VARIANT	0	2	0
Uniq0362;size=7;	*	VARIANT	*	*	*
Uniq3865;size=1;	Uniq0380;size=6;	NOISY VARIANT	3	3	0
Uniq5401;size=1;	Uniq0380;size=6;	NOISY VARIANT	3	3	0
Uniq0380;size=6;	*	VARIANT	*	*	*
Uniq1928;size=1;	Uniq0440;size=5;	NOISY VARIANT	4	2	0
Uniq3235;size=1;	Uniq0440;size=5;	NOISY VARIANT	3	3	0
Uniq4339;size=1;	Uniq0440;size=5;	NOISY VARIANT	3	3	0
Uniq5676;size=1;	Uniq0440;size=5;	NOISY VARIANT	3	3	0
Uniq0440;size=5;	*	VARIANT	*	*	*
Uniq0916;size=3;	Uniq0483;size=5;	NOISY VARIANT	4	2	0
Uniq0947;size=3;	Uniq0483;size=5;	NOISY VARIANT	2	0	1
Uniq1428;size=2;	Uniq0483;size=5;	NOISY VARIANT	4	0	0
Uniq1636;size=1;	Uniq0483;size=5;	NOISY VARIANT	3	3	0
Uniq3248;size=1;	Uniq0483;size=5;	NOISY VARIANT	3	3	0
Uniq3388;size=1;	Uniq0483;size=5;	NOISY VARIANT	4	2	0
Uniq3742;size=1;	Uniq0483;size=5;	NOISY VARIANT	1	3	1
Uniq3910;size=1;	Uniq0483;size=5;	NOISY VARIANT	4	2	1
Uniq4140;size=1;	Uniq0483;size=5;	NOISY VARIANT	3	3	1
Uniq4525;size=1;	Uniq0483;size=5;	NOISY VARIANT	4	2	0
Uniq4757;size=1;	Uniq0483;size=5;	NOISY VARIANT	1	3	1
Uniq0483;size=5;	*	VARIANT	*	*	*
Uniq4924;size=1;	Uniq0486;size=5;	NOISY VARIANT	4	2	0
Uniq5342;size=1;	Uniq0486;size=5;	NOISY VARIANT	4	0	0
Uniq5444;size=1;	Uniq0486;size=5;	NOISY VARIANT	4	2	0
Uniq5522;size=1;	Uniq0486;size=5;	NOISY VARIANT	4	2	0
Uniq5883;size=1;	Uniq0486;size=5;	NOISY VARIANT	3	3	0
